sample,sex,hap1,hap2
HG00706,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00706/assemblies/HG00706_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00706/assemblies/HG00706_mat_hprc_r2_v1.0.1.fa.gz
HG00733,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00733/assemblies/HG00733_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00733/assemblies/HG00733_mat_hprc_r2_v1.0.1.fa.gz
HG00735,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00735/assemblies/HG00735_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00735/assemblies/HG00735_mat_hprc_r2_v1.0.1.fa.gz
HG00738,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00738/assemblies/HG00738_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00738/assemblies/HG00738_mat_hprc_r2_v1.0.1.fa.gz
HG00741,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00741/assemblies/HG00741_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00741/assemblies/HG00741_mat_hprc_r2_v1.0.1.fa.gz
HG01071,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01071/assemblies/HG01071_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01071/assemblies/HG01071_mat_hprc_r2_v1.0.1.fa.gz
HG01074,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01074/assemblies/HG01074_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01074/assemblies/HG01074_mat_hprc_r2_v1.0.1.fa.gz
HG01081,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01081/assemblies/HG01081_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01081/assemblies/HG01081_mat_hprc_r2_v1.0.1.fa.gz
HG01099,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01099/assemblies/HG01099_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01099/assemblies/HG01099_mat_hprc_r2_v1.0.1.fa.gz
HG01106,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01106/assemblies/HG01106_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01106/assemblies/HG01106_mat_hprc_r2_v1.0.1.fa.gz
