sample,sex,hap1,hap2
NA18976,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18976/assemblies/NA18976_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18976/assemblies/NA18976_hap2_hprc_r2_v1.0.1.fa.gz
NA18983,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18983/assemblies/NA18983_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18983/assemblies/NA18983_hap2_hprc_r2_v1.0.1.fa.gz
NA19036,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19036/assemblies/NA19036_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19036/assemblies/NA19036_hap2_hprc_r2_v1.0.1.fa.gz
NA19043,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19043/assemblies/NA19043_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19043/assemblies/NA19043_hap2_hprc_r2_v1.0.1.fa.gz
NA19087,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19087/assemblies/NA19087_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19087/assemblies/NA19087_hap2_hprc_r2_v1.0.1.fa.gz
NA19159,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19159/assemblies/NA19159_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19159/assemblies/NA19159_hap2_hprc_r2_v1.0.1.fa.gz
NA19185,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19185/assemblies/NA19185_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19185/assemblies/NA19185_hap2_hprc_r2_v1.0.1.fa.gz
NA19240,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19240/assemblies/NA19240_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19240/assemblies/NA19240_mat_hprc_r2_v1.0.1.fa.gz
NA19338,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19338/assemblies/NA19338_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19338/assemblies/NA19338_hap2_hprc_r2_v1.0.1.fa.gz
NA19391,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19391/assemblies/NA19391_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19391/assemblies/NA19391_hap2_hprc_r2_v1.0.1.fa.gz
NA19443,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19443/assemblies/NA19443_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19443/assemblies/NA19443_hap2_hprc_r2_v1.0.1.fa.gz
NA19468,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19468/assemblies/NA19468_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19468/assemblies/NA19468_hap2_hprc_r2_v1.0.1.fa.gz
NA19682,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19682/assemblies/NA19682_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19682/assemblies/NA19682_hap2_hprc_r2_v1.0.1.fa.gz
NA19700,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19700/assemblies/NA19700_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19700/assemblies/NA19700_hap2_hprc_r2_v1.0.1.fa.gz
NA19776,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19776/assemblies/NA19776_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19776/assemblies/NA19776_hap2_hprc_r2_v1.0.1.fa.gz
NA19835,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19835/assemblies/NA19835_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19835/assemblies/NA19835_hap2_hprc_r2_v1.0.1.fa.gz
NA19909,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19909/assemblies/NA19909_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA19909/assemblies/NA19909_hap2_hprc_r2_v1.0.1.fa.gz
NA20129,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20129/assemblies/NA20129_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20129/assemblies/NA20129_mat_hprc_r2_v1.0.1.fa.gz
NA20282,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20282/assemblies/NA20282_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20282/assemblies/NA20282_hap2_hprc_r2_v1.0.1.fa.gz
NA20346,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20346/assemblies/NA20346_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20346/assemblies/NA20346_hap2_hprc_r2_v1.0.1.fa.gz
NA20752,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20752/assemblies/NA20752_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20752/assemblies/NA20752_hap2_hprc_r2_v1.0.1.fa.gz
NA20799,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20799/assemblies/NA20799_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20799/assemblies/NA20799_hap2_hprc_r2_v1.0.1.fa.gz
NA20805,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20805/assemblies/NA20805_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20805/assemblies/NA20805_hap2_hprc_r2_v1.0.1.fa.gz
NA20809,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20809/assemblies/NA20809_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20809/assemblies/NA20809_hap2_hprc_r2_v1.0.1.fa.gz
NA20850,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20850/assemblies/NA20850_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20850/assemblies/NA20850_hap2_hprc_r2_v1.0.1.fa.gz
NA20870,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20870/assemblies/NA20870_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20870/assemblies/NA20870_hap2_hprc_r2_v1.0.1.fa.gz
NA20905,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20905/assemblies/NA20905_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA20905/assemblies/NA20905_hap2_hprc_r2_v1.0.1.fa.gz
NA21093,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21093/assemblies/NA21093_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21093/assemblies/NA21093_hap2_hprc_r2_v1.0.1.fa.gz
NA21102,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21102/assemblies/NA21102_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21102/assemblies/NA21102_hap2_hprc_r2_v1.0.1.fa.gz
NA21106,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21106/assemblies/NA21106_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21106/assemblies/NA21106_hap2_hprc_r2_v1.0.1.fa.gz
NA21110,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21110/assemblies/NA21110_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21110/assemblies/NA21110_hap2_hprc_r2_v1.0.1.fa.gz
NA21144,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21144/assemblies/NA21144_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21144/assemblies/NA21144_hap2_hprc_r2_v1.0.1.fa.gz
NA21309,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21309/assemblies/NA21309_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA21309/assemblies/NA21309_mat_hprc_r2_v1.0.1.fa.gz
