sample_id,reference,file_type,s3_path
HG00235,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/variant_calls/GRCh38_no_alt/merged/HG00235.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00235,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/variant_calls/GRCh38_no_alt/merged/HG00235.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00253,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/variant_calls/CHM13v2/merged/HG00253.CHM13v2.autosomes.merged.vcf.gz
HG00253,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/variant_calls/CHM13v2/merged/HG00253.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00253,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/variant_calls/GRCh38_no_alt/merged/HG00253.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00253,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/variant_calls/GRCh38_no_alt/merged/HG00253.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00280,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/variant_calls/CHM13v2/merged/HG00280.CHM13v2.autosomes.merged.vcf.gz
HG00280,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/variant_calls/CHM13v2/merged/HG00280.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00280,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/variant_calls/GRCh38_no_alt/merged/HG00280.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00280,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/variant_calls/GRCh38_no_alt/merged/HG00280.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00290,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/variant_calls/CHM13v2/merged/HG00290.CHM13v2.autosomes.merged.vcf.gz
HG00290,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/variant_calls/CHM13v2/merged/HG00290.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00290,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/variant_calls/GRCh38_no_alt/merged/HG00290.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00290,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/variant_calls/GRCh38_no_alt/merged/HG00290.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00320,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/variant_calls/CHM13v2/merged/HG00320.CHM13v2.autosomes.merged.vcf.gz
HG00320,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/variant_calls/CHM13v2/merged/HG00320.CHM13v2.autosomes.merged.vcf.gz.tbi
